"complex","gene_name"
"26S proteasome","411520"
"26S proteasome","LOC409831"
"26S proteasome","551343"
"26S proteasome","410026"
"26S proteasome","552579"
"26S proteasome","409978"
"26S proteasome","409609"
"26S proteasome","LOC100578243"
"26S proteasome","550794"
"26S proteasome","551386"
"26S proteasome","408353"
"26S proteasome","LOC409168"
"28S ribosomal subunit, mitochondrial","409723"
"28S ribosomal subunit, mitochondrial","724744"
"28S ribosomal subunit, mitochondrial","LOC726000"
"28S ribosomal subunit, mitochondrial","411924"
"28S ribosomal subunit, mitochondrial","LOC409129"
"28S ribosomal subunit, mitochondrial","551939"
"28S ribosomal subunit, mitochondrial","411103"
"28S ribosomal subunit, mitochondrial","LOC725980"
"28S ribosomal subunit, mitochondrial","LOC410678"
"28S ribosomal subunit, mitochondrial","LOC100577575"
"28S ribosomal subunit, mitochondrial","LOC113218892"
"28S ribosomal subunit, mitochondrial","408493"
"28S ribosomal subunit, mitochondrial","551584"
"28S ribosomal subunit, mitochondrial","LOC724162"
"28S ribosomal subunit, mitochondrial","552152"
"28S ribosomal subunit, mitochondrial","726731"
"28S ribosomal subunit, mitochondrial","412984"
"28S ribosomal subunit, mitochondrial","LOC551397"
"28S ribosomal subunit, mitochondrial","725620"
"28S ribosomal subunit, mitochondrial","725538"
"28S ribosomal subunit, mitochondrial","551158"
"28S ribosomal subunit, mitochondrial","724125"
"28S ribosomal subunit, mitochondrial","411862"
"28S ribosomal subunit, mitochondrial","725291"
"28S ribosomal subunit, mitochondrial","100578560"
"28S ribosomal subunit, mitochondrial","552526"
"3-Hydroxyacyl CoA dehydrogenase","410325"
"3-Hydroxyacyl CoA dehydrogenase","551775"
"3-methylcrotonyl-CoA carboxylase","LOC413233"
"3-methylcrotonyl-CoA carboxylase","410554"
"39S ribosomal subunit, mitochondrial","552676"
"39S ribosomal subunit, mitochondrial","552593"
"39S ribosomal subunit, mitochondrial","LOC409926"
"39S ribosomal subunit, mitochondrial","412473"
"39S ribosomal subunit, mitochondrial","726151"
"39S ribosomal subunit, mitochondrial","724708"
"39S ribosomal subunit, mitochondrial","724263"
"39S ribosomal subunit, mitochondrial","LOC552641"
"39S ribosomal subunit, mitochondrial","726480"
"39S ribosomal subunit, mitochondrial","552097"
"39S ribosomal subunit, mitochondrial","LOC725201"
"39S ribosomal subunit, mitochondrial","LOC107965674"
"39S ribosomal subunit, mitochondrial","LOC552471"
"39S ribosomal subunit, mitochondrial","724790"
"39S ribosomal subunit, mitochondrial","LOC409269"
"39S ribosomal subunit, mitochondrial","408675"
"39S ribosomal subunit, mitochondrial","410727"
"39S ribosomal subunit, mitochondrial","725918"
"39S ribosomal subunit, mitochondrial","726617"
"39S ribosomal subunit, mitochondrial","552656"
"39S ribosomal subunit, mitochondrial","413398"
"39S ribosomal subunit, mitochondrial","409951"
"39S ribosomal subunit, mitochondrial","413928"
"39S ribosomal subunit, mitochondrial","725866"
"39S ribosomal subunit, mitochondrial","725062"
"39S ribosomal subunit, mitochondrial","724493"
"39S ribosomal subunit, mitochondrial","725854"
"39S ribosomal subunit, mitochondrial","552628"
"39S ribosomal subunit, mitochondrial","LOC413989"
"39S ribosomal subunit, mitochondrial","551321"
"39S ribosomal subunit, mitochondrial","413774"
"39S ribosomal subunit, mitochondrial","727014"
"39S ribosomal subunit, mitochondrial","412549"
"39S ribosomal subunit, mitochondrial","LOC413121"
"39S ribosomal subunit, mitochondrial","LOC113218524"
"39S ribosomal subunit, mitochondrial","725659"
"39S ribosomal subunit, mitochondrial","412367"
"39S ribosomal subunit, mitochondrial","411618"
"39S ribosomal subunit, mitochondrial","100577702"
"39S ribosomal subunit, mitochondrial","LOC102656685"
"3M complex","100577122"
"3M complex","408691"
"40S ribosomal subunit, cytoplasmic","724233"
"40S ribosomal subunit, cytoplasmic","410486"
"40S ribosomal subunit, cytoplasmic","409326"
"40S ribosomal subunit, cytoplasmic","551330"
"40S ribosomal subunit, cytoplasmic","LOC552266"
"40S ribosomal subunit, cytoplasmic","726270"
"40S ribosomal subunit, cytoplasmic","409202"
"40S ribosomal subunit, cytoplasmic","409728"
"40S ribosomal subunit, cytoplasmic","726013"
"40S ribosomal subunit, cytoplasmic","413296"
"40S ribosomal subunit, cytoplasmic","552564"
"40S ribosomal subunit, cytoplasmic","RpS8"
"40S ribosomal subunit, cytoplasmic","551125"
"40S ribosomal subunit, cytoplasmic","726439"
"40S ribosomal subunit, cytoplasmic","Rps14"
"40S ribosomal subunit, cytoplasmic","552272"
"40S ribosomal subunit, cytoplasmic","LOC552726"
"40S ribosomal subunit, cytoplasmic","725147"
"40S ribosomal subunit, cytoplasmic","551867"
"40S ribosomal subunit, cytoplasmic","724868"
"40S ribosomal subunit, cytoplasmic","725647"
"40S ribosomal subunit, cytoplasmic","551644"
"40S ribosomal subunit, cytoplasmic","408799"
"40S ribosomal subunit, cytoplasmic","724369"
"40S ribosomal subunit, cytoplasmic","551479"
"4E-T-DDX6-CNOT1 complex","LOC412371"
"4E-T-DDX6-CNOT1 complex","LOC552206"
"4E-T-DDX6-CNOT1 complex","LOC727230"
"53BP1-containing complex","LOC552680"
"53BP1-containing complex","LOC552750"
"53BP1-containing complex","LOC725934"
"55S ribosome, mitochondrial","409723"
"55S ribosome, mitochondrial","724744"
"55S ribosome, mitochondrial","552676"
"55S ribosome, mitochondrial","552593"
"55S ribosome, mitochondrial","LOC409926"
"55S ribosome, mitochondrial","LOC726000"
"55S ribosome, mitochondrial","411924"
"55S ribosome, mitochondrial","LOC409129"
"55S ribosome, mitochondrial","551939"
"55S ribosome, mitochondrial","411103"
"55S ribosome, mitochondrial","LOC725980"
"55S ribosome, mitochondrial","LOC410678"
"55S ribosome, mitochondrial","LOC100577575"
"55S ribosome, mitochondrial","LOC113218892"
"55S ribosome, mitochondrial","408493"
"55S ribosome, mitochondrial","551584"
"55S ribosome, mitochondrial","LOC724162"
"55S ribosome, mitochondrial","412473"
"55S ribosome, mitochondrial","726151"
"55S ribosome, mitochondrial","724708"
"55S ribosome, mitochondrial","724263"
"55S ribosome, mitochondrial","LOC552641"
"55S ribosome, mitochondrial","726480"
"55S ribosome, mitochondrial","552097"
"55S ribosome, mitochondrial","LOC725201"
"55S ribosome, mitochondrial","LOC107965674"
"55S ribosome, mitochondrial","LOC552471"
"55S ribosome, mitochondrial","724790"
"55S ribosome, mitochondrial","LOC409269"
"55S ribosome, mitochondrial","408675"
"55S ribosome, mitochondrial","410727"
"55S ribosome, mitochondrial","552152"
"55S ribosome, mitochondrial","725918"
"55S ribosome, mitochondrial","726617"
"55S ribosome, mitochondrial","552656"
"55S ribosome, mitochondrial","413398"
"55S ribosome, mitochondrial","409951"
"55S ribosome, mitochondrial","413928"
"55S ribosome, mitochondrial","725866"
"55S ribosome, mitochondrial","725062"
"55S ribosome, mitochondrial","724493"
"55S ribosome, mitochondrial","726731"
"55S ribosome, mitochondrial","725854"
"55S ribosome, mitochondrial","552628"
"55S ribosome, mitochondrial","LOC413989"
"55S ribosome, mitochondrial","551321"
"55S ribosome, mitochondrial","413774"
"55S ribosome, mitochondrial","412984"
"55S ribosome, mitochondrial","727014"
"55S ribosome, mitochondrial","412549"
"55S ribosome, mitochondrial","LOC551397"
"55S ribosome, mitochondrial","LOC413121"
"55S ribosome, mitochondrial","LOC113218524"
"55S ribosome, mitochondrial","725659"
"55S ribosome, mitochondrial","412367"
"55S ribosome, mitochondrial","411618"
"55S ribosome, mitochondrial","725620"
"55S ribosome, mitochondrial","725538"
"55S ribosome, mitochondrial","551158"
"55S ribosome, mitochondrial","724125"
"55S ribosome, mitochondrial","411862"
"55S ribosome, mitochondrial","100577702"
"55S ribosome, mitochondrial","725291"
"55S ribosome, mitochondrial","100578560"
"55S ribosome, mitochondrial","552526"
"55S ribosome, mitochondrial","LOC102656685"
"5FMC (Friends of Methylated Chtop) complex","102654594"
"5FMC (Friends of Methylated Chtop) complex","LOC726961"
"5S-DNA-TFIIIA-TFIIIC2 subcomplex","LOC100577886"
"5S-DNA-TFIIIA-TFIIIC2 subcomplex","727205"
"5S-DNA-TFIIIA-TFIIIC2 subcomplex","726568"
"5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex","LOC550692"
"5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex","LOC100577886"
"5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex","409247"
"5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex","727205"
"5S-DNA-TFIIIA-TFIIIC2-TFIIIB subcomplex","726568"
"60S ribosomal subunit, cytoplasmic","406120"
"60S ribosomal subunit, cytoplasmic","725884"
"60S ribosomal subunit, cytoplasmic","409599"
"60S ribosomal subunit, cytoplasmic","413470"
"60S ribosomal subunit, cytoplasmic","552517"
"60S ribosomal subunit, cytoplasmic","550715"
"60S ribosomal subunit, cytoplasmic","551107"
"60S ribosomal subunit, cytoplasmic","LOC408526"
"60S ribosomal subunit, cytoplasmic","LOC552445"
"60S ribosomal subunit, cytoplasmic","551418"
"60S ribosomal subunit, cytoplasmic","724191"
"60S ribosomal subunit, cytoplasmic","552318"
"60S ribosomal subunit, cytoplasmic","552241"
"60S ribosomal subunit, cytoplasmic","726056"
"60S ribosomal subunit, cytoplasmic","552774"
"60S ribosomal subunit, cytoplasmic","727128"
"60S ribosomal subunit, cytoplasmic","LOC409290"
"60S ribosomal subunit, cytoplasmic","413137"
"60S ribosomal subunit, cytoplasmic","412266"
"60S ribosomal subunit, cytoplasmic","LOC725432"
"60S ribosomal subunit, cytoplasmic","552494"
"60S ribosomal subunit, cytoplasmic","409528"
"60S ribosomal subunit, cytoplasmic","409637"
"60S ribosomal subunit, cytoplasmic","411380"
"60S ribosomal subunit, cytoplasmic","413875"
"60S ribosomal subunit, cytoplasmic","LOC413868"
"60S ribosomal subunit, cytoplasmic","RpL32"
"60S ribosomal subunit, cytoplasmic","LOC726171"
"60S ribosomal subunit, cytoplasmic","410188"
"60S ribosomal subunit, cytoplasmic","725943"
"60S ribosomal subunit, cytoplasmic","LOC725383"
"60S ribosomal subunit, cytoplasmic","724142"
"60S ribosomal subunit, cytoplasmic","rpl19"
"60S ribosomal subunit, cytoplasmic","409832"
"60S ribosomal subunit, cytoplasmic","409479"
"60S ribosomal subunit, cytoplasmic","102654426"
"60S ribosomal subunit, cytoplasmic","551870"
"6S methyltransferase and RG-containing Sm proteins complex","551690"
"6S methyltransferase and RG-containing Sm proteins complex","725880"
"6S methyltransferase and RG-containing Sm proteins complex","552559"
"6S methyltransferase and RG-containing Sm proteins complex","LOC414039"
"6S methyltransferase and RG-containing Sm proteins complex","724533"
"6S methyltransferase complex","551690"
"6S methyltransferase complex","552559"
"6S methyltransferase complex","724533"
"7SK RNP complex","412560"
"7SK RNP complex","724474"
"9-1-1 complex","LOC551008"
"9-1-1 complex","LOC100576872"
"9-1-1-APE1 complex","LOC551008"
"9-1-1-APE1 complex","551153"
"9-1-1-APE1 complex","LOC100576872"
"9-1-1-FEN1 complex","LOC551008"
"9-1-1-FEN1 complex","412308"
"9-1-1-FEN1 complex","LOC100576872"
"9-1-1-LIG1 complex","LOC551008"
"9-1-1-LIG1 complex","408752"
"9-1-1-LIG1 complex","LOC100576872"
"9-1-1-POLB complex","LOC551008"
"9-1-1-POLB complex","LOC724170"
"9-1-1-POLB complex","LOC100576872"
"9-1-1-RAD17-RFC complex","LOC551008"
"9-1-1-RAD17-RFC complex","LOC724559"
"9-1-1-RAD17-RFC complex","LOC726018"
"9-1-1-RAD17-RFC complex","LOC551540"
"9-1-1-RAD17-RFC complex","410266"
"9-1-1-RAD17-RFC complex","551990"
"9-1-1-RAD17-RFC complex","LOC100576872"
"9-1-1-RHINO complex","LOC551008"
"9-1-1-RHINO complex","LOC100576872"
"ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex","552654"
"ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex","PiC"
"ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex","413762"
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)","LOC550829"
"Actin-ribonucleoprotein complex (POLR2A, GTF2F1, HNRNPU)","LOC727088"
"AGPS-GNPAT complex","LOC725343"
"AGPS-GNPAT complex","LOC412563"
"Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex","409389"
"Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex","LOC411121"
"Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex","727180"
"Akt-PHLPP1-PHLPP2-FANCI-FANCD2-USP1-UAF1 complex","LOC726651"
"ALL-1 supercomplex","LOC100576967"
"ALL-1 supercomplex","726469"
"ALL-1 supercomplex","LOC550692"
"ALL-1 supercomplex","409735"
"ALL-1 supercomplex","410280"
"ALL-1 supercomplex","552200"
"ALL-1 supercomplex","410414"
"ALL-1 supercomplex","410305"
"ALL-1 supercomplex","LOC552752"
"ALL-1 supercomplex","411465"
"Anaphase-promoting complex","LOC409522"
"Anaphase-promoting complex","550920"
"Anaphase-promoting complex","LOC726728"
"Anaphase-promoting complex","413499"
"Anaphase-promoting complex","412712"
"Anaphase-promoting complex","410290"
"Anaphase-promoting complex","409810"
"Anaphase-promoting complex","LOC411942"
"Anaphase-promoting complex","413293"
"Anti-HDAC2 complex","726469"
"Anti-HDAC2 complex","552200"
"Anti-Sm protein complex","410664"
"Anti-Sm protein complex","LOC551751"
"Anti-Sm protein complex","551690"
"Anti-Sm protein complex","100577491"
"AP1 adaptor complex","LOC412884"
"AP1 adaptor complex","408391"
"AP3-BLOC1 complex","412097"
"AP3-BLOC1 complex","725747"
"AP3-BLOC1 complex","408415"
"AP3-BLOC1 complex","102656131"
"AP3-BLOC1 complex","102656006"
"AP3-BLOC1 complex","551978"
"AP3-BLOC1 complex","724688"
"APPBP1-UBA3 complex","LOC550745"
"APPBP1-UBA3 complex","409394"
"ARC complex","413179"
"ARC complex","LOC552794"
"ARC complex","408458"
"ARC complex","552449"
"ARC complex","411545"
"ARC complex","550881"
"ARC complex","413520"
"ARC complex","411043"
"ARC complex","LOC412332"
"ARC complex","412009"
"ARC complex","412578"
"ARC-L complex","413179"
"ARC-L complex","LOC552794"
"ARC-L complex","408458"
"ARC-L complex","552449"
"ARC-L complex","412009"
"ARC-L complex","412578"
"ARC-L complex","411545"
"ARC-L complex","411043"
"ARC-L complex","LOC412332"
"ARC92-Mediator complex","413179"
"ARC92-Mediator complex","LOC552794"
"ARC92-Mediator complex","552449"
"ARC92-Mediator complex","411545"
"ARC92-Mediator complex","411043"
"ARC92-Mediator complex","LOC412332"
"ARC92-Mediator complex","551212"
"ARL2-TBCD complex","411085"
"ARL2-TBCD complex","LOC725910"
"Arp2/3 protein complex","551784"
"Arp2/3 protein complex","725678"
"Arp2/3 protein complex","726301"
"Arp2/3 protein complex","409313"
"Artemis-DNA-PK complex","LOC552548"
"Artemis-DNA-PK complex","LOC726638"
"ASF1-histone containing complex","551949"
"ASF1-histone containing complex","LOC408464"
"ASF1-histone containing complex","551918"
"ASF1-interacting protein complex","727229"
"ASF1-interacting protein complex","551918"
"Astrin-kinastrin complex","413261"
"Astrin-kinastrin complex","LOC100577102"
"ASXL1-HCFC1-OGT complex","LOC551425"
"ASXL1-HCFC1-OGT complex","LOC551801"
"ATAC complex, GCN5-linked","408384"
"ATAC complex, GCN5-linked","411658"
"ATAC complex, GCN5-linked","LOC409197"
"ATAC complex, GCN5-linked","408702"
"ATAC complex, GCN5-linked","411072"
"ATAC complex, GCN5-linked","Mocs2"
"ATAC complex, GCN5-linked","409331"
"ATAC complex, YEATS2-linked","LOC413809"
"ATAC complex, YEATS2-linked","408384"
"ATAC complex, YEATS2-linked","411658"
"ATAC complex, YEATS2-linked","LOC409197"
"ATAC complex, YEATS2-linked","408702"
"ATAC complex, YEATS2-linked","411072"
"ATAC complex, YEATS2-linked","LOC725835"
"ATAC complex, YEATS2-linked","726923"
"ATAC complex, YEATS2-linked","Mocs2"
"ATAC complex, YEATS2-linked","409331"
"AUP1-OS9-SEL1L-UBC6e-UBXD8 complex","LOC412414"
"AUP1-OS9-SEL1L-UBC6e-UBXD8 complex","LOC409281"
"AUP1-OS9-SEL1L-UBC6e-UBXD8 complex","409794"
"AUP1-OS9-SEL1L-UBC6e-UBXD8 complex","409427"
"AURKA-HDAC6 cilia-disassembly complex","412271"
"AURKA-HDAC6 cilia-disassembly complex","LOC725938"
"AURKA-INPP5E complex","412271"
"AURKA-INPP5E complex","LOC409136"
"B-WICH complex","551331"
"B-WICH complex","LOC724695"
"B-WICH complex","LOC100577436"
"BAG6-AMFR-FAF2 complex","LOC408889"
"BAG6-AMFR-FAF2 complex","LOC412414"
"BAG6-AMFR-FAF2 complex","LOC100576187"
"BARD1-BRCA1-CSTF complex","409688"
"BARD1-BRCA1-CSTF complex","410390"
"BASC complex (BRCA1-associated genome surveillance complex)","LOC726018"
"BASC complex (BRCA1-associated genome surveillance complex)","LOC551540"
"BASC complex (BRCA1-associated genome surveillance complex)","LOC413807"
"BASC complex (BRCA1-associated genome surveillance complex)","724296"
"BASC complex (BRCA1-associated genome surveillance complex)","LOC725348"
"BASC complex (BRCA1-associated genome surveillance complex)","408815"
"BASC complex (BRCA1-associated genome surveillance complex)","LOC725613"
"BASC complex (BRCA1-associated genome surveillance complex)","LOC726642"
"BBS-chaperonin complex","409134"
"BBS-chaperonin complex","409825"
"BBS-chaperonin complex","409296"
"BBS-chaperonin complex","551436"
"BBS-chaperonin complex","551275"
"BBS-chaperonin complex","409809"
"BBS-chaperonin complex","LOC411651"
"BBS1-BBS4-BBS5-PKD1-TTC8 complex","551495"
"BBS1-BBS4-BBS5-PKD1-TTC8 complex","LOC413899"
"BBS1-BBS4-BBS5-PKD1-TTC8 complex","551897"
"BBSome","725231"
"BBSome","LOC726019"
"BBSome","LOC411651"
"BBSome","551495"
"BBSome","LOC413899"
"BBSome","551897"
"BBSome","LOC412827"
"BBSome core complex","LOC726019"
"BBSome core complex","LOC411651"
"BBSome core complex","LOC412827"
"BBSome linker complex","725231"
"BBSome linker complex","LOC413899"
"BBSome linker complex","551897"
"BCDX2 complex","LOC102656733"
"BCDX2 complex","LOC100576677"
"Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex","408834"
"Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex","LOC725770"
"Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex","LOC726562"
"Bcl-2-Beclin1-UVRAG-PI(3)KC3 complex","LOC100578537"
"Binary COG subcomplex","LOC411239"
"Binary COG subcomplex","552540"
"BLM complex II","LOC725934"
"BLM complex II","726757"
"BLM complex II","LOC410571"
"BLM complex II","LOC100576708"
"BLM complex III","724296"
"BLM complex III","LOC410571"
"BLM complex III","LOC100576708"
"BLM-RAD51L3-XRCC2 complex","LOC102656733"
"BLM-RAD51L3-XRCC2 complex","LOC100576677"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","725747"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","408415"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","102656131"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","102656006"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","551978"
"BLOC-1 (biogenesis of lysosome-related organelles complex 1)","724688"
"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","LOC726067"
"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","LOC412265"
"BLOC1-BLOC2 complex","725747"
"BLOC1-BLOC2 complex","408415"
"BLOC1-BLOC2 complex","102656131"
"BLOC1-BLOC2 complex","102656006"
"BLOC1-BLOC2 complex","724591"
"BLOC1-BLOC2 complex","551978"
"BLOC1-BLOC2 complex","724688"
"BORC complex","725747"
"BORC complex","408415"
"BORC complex","102656131"
"BORC complex","410518"
"BORC complex","725774"
"BORC complex","LOC551585"
"BORC complex","726308"
"BP-SMAD complex","409198"
"BP-SMAD complex","551734"
"BRAF-MAP2K1-MAP2K2-YWHAE complex","413448"
"BRAF-MAP2K1-MAP2K2-YWHAE complex","408951"
"BRAFT complex","LOC725934"
"BRAFT complex","726757"
"BRAFT complex","724296"
"BRAFT complex","LOC410571"
"BRAFT complex","LOC100576708"
"BRAFT complex","LOC727490"
"BRCA1-BARD1-BACH1-DNA damage complex I","724296"
"BRCA1-BARD1-BACH1-DNA damage complex I","408815"
"BRCA1-BARD1-BACH1-DNA damage complex I","410940"
"BRCA1-BARD1-BACH1-DNA damage complex II","410940"
"BRCA1-BARD1-BACH1-DNA damage complex II","LOC726642"
"BRCA1-core RNA polymerase II complex","552458"
"BRCA1-core RNA polymerase II complex","413110"
"BRCA1-core RNA polymerase II complex","LOC550829"
"BRCA1-core RNA polymerase II complex","LOC552156"
"BRCA1-core RNA polymerase II complex","412547"
"BRCA1-core RNA polymerase II complex","102655904"
"BRCA1-core RNA polymerase II complex","727025"
"BRCA1-core RNA polymerase II complex","410494"
"BRCA1-core RNA polymerase II complex","552599"
"BRCA1-core RNA polymerase II complex","724625"
"BRCA1-IRIS-pre-replication complex","410093"
"BRCA1-IRIS-pre-replication complex","408512"
"BRCA1-IRIS-pre-replication complex","LOC552763"
"BRCA1-RNA polymerase II complex","551470"
"BRCA1-RNA polymerase II complex","412700"
"BRCA1-RNA polymerase II complex","552458"
"BRCA1-RNA polymerase II complex","413110"
"BRCA1-RNA polymerase II complex","551734"
"BRCA1-RNA polymerase II complex","LOC550692"
"BRCA1-RNA polymerase II complex","LOC550829"
"BRCA1-RNA polymerase II complex","411786"
"BRCA1-RNA polymerase II complex","LOC724355"
"BRCA1-RNA polymerase II complex","LOC552156"
"BRCA1-RNA polymerase II complex","550895"
"BRCA1-RNA polymerase II complex","LOC727088"
"BRCA1-RNA polymerase II complex","412547"
"BRCA1-RNA polymerase II complex","102655904"
"BRCA1-RNA polymerase II complex","727025"
"BRCA1-RNA polymerase II complex","410494"
"BRCA1-RNA polymerase II complex","552599"
"BRCA1-RNA polymerase II complex","724625"
"BRCA1-RNA polymerase II complex","411965"
"BRCA1-RNA polymerase II complex","412578"
"BRCA1-RNA polymerase II complex","411231"
"BRCA1-RNA polymerase II complex","412010"
"BRCC complex","LOC552601"
"BRCC complex","552450"
"BRD4 complex","LOC552794"
"BRD4 complex","408458"
"BRD4 complex","412560"
"BRD4 complex","411043"
"BRD4-RFC complex","LOC726018"
"BRD4-RFC complex","LOC551540"
"BRD4-RFC complex","LOC413807"
"BRD4-RFC complex","410266"
"BRD4-RFC complex","551990"
"BRD7-BAF60A-MEP50 complex","LOC724567"
"BRD7-BAF60A-MEP50 complex","Brd7"
"BRD7-CBP-SWI\u2013SNF complex","410664"
"BRD7-CBP-SWI\u2013SNF complex","Brd7"
"BRD7-EZH2-SUZ12 complex","LOC409170"
"BRD7-EZH2-SUZ12 complex","Brd7"
"BRD7-SWI\u2013SNF complex","410664"
"BRD7-SWI\u2013SNF complex","Brd7"
"BRD7-SWI\u2013SNF-SUZ12 complex","LOC409170"
"BRD7-SWI\u2013SNF-SUZ12 complex","Brd7"
"BRD7-SWI\u2013SNF-SUZ12 complex","LOC408925"
"BRG1-SIN3A complex","410664"
"BRG1-SIN3A complex","552200"
"BRM-SIN3A complex","410664"
"BRM-SIN3A complex","552200"
"BUB1-BUB3 complex","LOC726325"
"BUB1-BUB3 complex","410050"
"C complex spliceosome","LOC409347"
"C complex spliceosome","552198"
"C complex spliceosome","413548"
"C complex spliceosome","413523"
"C complex spliceosome","551331"
"C complex spliceosome","LOC551530"
"C complex spliceosome","551493"
"C complex spliceosome","551551"
"C complex spliceosome","LOC410547"
"C complex spliceosome","Snf"
"C complex spliceosome","412064"
"C complex spliceosome","409866"
"C complex spliceosome","LOC551637"
"C complex spliceosome","725880"
"C complex spliceosome","725401"
"C complex spliceosome","552559"
"C complex spliceosome","LOC414039"
"C complex spliceosome","724533"
"C complex spliceosome","410040"
"C complex spliceosome","413963"
"C complex spliceosome","726336"
"C complex spliceosome","LOC725406"
"C complex spliceosome","LOC551225"
"C complex spliceosome","552828"
"C complex spliceosome","550940"
"C complex spliceosome","410414"
"C complex spliceosome","LOC550935"
"C complex spliceosome","409883"
"C complex spliceosome","726870"
"C complex spliceosome","551620"
"C complex spliceosome","LOC725396"
"C complex spliceosome","LOC726778"
"C complex spliceosome","LOC413544"
"C complex spliceosome","552715"
"C complex spliceosome","LOC552527"
"C complex spliceosome","LOC552172"
"C complex spliceosome","LOC551339"
"C complex spliceosome","LOC551823"
"C complex spliceosome","551756"
"C complex spliceosome","LOC551723"
"C complex spliceosome","LOC413147"
"C complex spliceosome","LOC724331"
"C complex spliceosome","412159"
"C complex spliceosome","411538"
"C complex spliceosome","408632"
"C complex spliceosome","408611"
"C complex spliceosome","LOC408524"
"C complex spliceosome","LOC412966"
"C complex spliceosome","408750"
"C complex spliceosome","725142"
"C complex spliceosome","LOC727378"
